canonical_key,full_name,display_name,birth_year,death_year,birth_place_id,death_place_id,race_code,gender,class_code,occupation,home_region_sc_code,enslaved_status,source_density_code,representation_depth_code,erasure_flag,erasure_reason_code,notes
jb_campbell,J.B. Campbell,J.B. Campbell,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2215
jh_hammond,J.H. Hammond,J.H. Hammond,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 934
ji_middleton,J.I. Middleton,J.I. Middleton,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 3253
jl_orr,J.L. Orr,J.L. Orr,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 936
jabez_jr_westcoat,Jabez J.R. Westcoat,Jabez J.R. Westcoat,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2087
jack,Jack,Jack,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2372
jack_jenkins,Jack Jenkins,Jack Jenkins,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2375
jackson,Jackson,Jackson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2204
jacobs,Jacobs,Jacobs,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1784
james,James,James,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1565
james_b_campbell,James B.] Campbell,James B.] Campbell,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3187,5239"
james_benson,James Benson,James Benson,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2625
james_black,James] Black,James] Black,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 1817,3782"
james_chesnut,James] Chesnut,James] Chesnut,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 3061,5104"
james_cunninghams,James Cunninghams,James Cunninghams,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 2147
james_diament,James Diament,James Diament,,,,,,,,,,,,,0,,Imported from BFPerry people ids: 1748
james_edward_henry,James Edward] Henry,James Edward] Henry,,,,,,,,,,,,,0,,"Imported from BFPerry people ids: 2686,4702"
