canonical_key,alias_name,source_id,notes
christopher_g_memminger,Christopher G. Memminger,,From BFPerry person_id=2288
christopher_g_memminger,Christopher G.] Memminger,,From BFPerry person_id=4271
christopher_g_memmingers,Christopher G.] Memmingers,,From BFPerry person_id=2347
christopher_william,Christopher William,,From BFPerry person_id=3288
christopher_william_dudley,Christopher William Dudley,,From BFPerry person_id=2216
christopher_william_dudley,Christopher William] Dudley,,From BFPerry person_id=1683
church,Church,,From BFPerry person_id=3958
citadel,Citadel,,From BFPerry person_id=3254
clara,Clara,,From BFPerry person_id=2630
clark,Clark,,From BFPerry person_id=1590
clark_mills,Clark Mills,,From BFPerry person_id=2980
clark_perrys,Clark Perrys,,From BFPerry person_id=2351
clary_benson,Clary Benson,,From BFPerry person_id=2627
clay,Clay,,From BFPerry person_id=1882
clements,Clements,,From BFPerry person_id=2734
cleopatra,Cleopatra,,From BFPerry person_id=2278
clerk,Clerk,,From BFPerry person_id=2228
cleveland,Cleveland,,From BFPerry person_id=1721
clevelands,Clevelands,,From BFPerry person_id=3344
clingman,Clingman,,From BFPerry person_id=3035
cloaks,Cloaks,,From BFPerry person_id=2983
clossett,Clossett,,From BFPerry person_id=3392
cobb,Cobb,,From BFPerry person_id=2515
col_dawkins,Col Dawkins,,From BFPerry person_id=2655
col_irby,Col Irby,,From BFPerry person_id=1606
col_keitt,Col Keitt,,From BFPerry person_id=3415
col_maybin_of_columbia,Col Maybin of Columbia,,From BFPerry person_id=2654
col_orr,Col Orr,,From BFPerry person_id=2694
col_pickens,Col Pickens,,From BFPerry person_id=3279
col_taylor,Col Taylor,,From BFPerry person_id=3129
col_ware,Col Ware,,From BFPerry person_id=2488
col_wares,Col Wares,,From BFPerry person_id=1837
col_t_edwin_ware,Col. T. Edwin Ware,,From BFPerry person_id=1478
colcock,Colcock,,From BFPerry person_id=3037
coleman,Coleman,,From BFPerry person_id=1968
colin_m_ingersoll,Colin M. Ingersoll,,From BFPerry person_id=2807
colin_m_ingersoll,Colin M.] Ingersoll,,From BFPerry person_id=4828
coll_wares,Coll Wares,,From BFPerry person_id=3017
colleague,Colleague,,From BFPerry person_id=2221
collin_ferguson,Collin Ferguson,,From BFPerry person_id=2934
collins,Collins,,From BFPerry person_id=3307
columbia_sc,Columbia S.C.,,From BFPerry person_id=2080
columbias,Columbias,,From BFPerry person_id=2508
commencement_ball,Commencement Ball,,From BFPerry person_id=4268
conbreliry,Conbreliry,,From BFPerry person_id=3299
concert,Concert,,From BFPerry person_id=3138
conner,Conner,,From BFPerry person_id=1769
conners,Conners,,From BFPerry person_id=2566
conrad,Conrad,,From BFPerry person_id=3495
consult,Consult,,From BFPerry person_id=2745
cook,Cook,,From BFPerry person_id=2713
cooks,Cooks,,From BFPerry person_id=2820
cooley,Cooley,,From BFPerry person_id=2328
cooper,Cooper,,From BFPerry person_id=1940
coosawhatchie,Coosawhatchie,,From BFPerry person_id=5404
corbin,Corbin,,From BFPerry person_id=3029
cornelia_crittenden,Cornelia Crittenden,,From BFPerry person_id=3084
cornelia_thompson,Cornelia Thompson,,From BFPerry person_id=3456
corpse,Corpse,,From BFPerry person_id=2750
corwin,Corwin,,From BFPerry person_id=2733
cotton,Cotton,,From BFPerry person_id=2877
count_chais,Count Chais,,From BFPerry person_id=2951
