person_id,full_name,rel_count,category_guess,candidate_canonical_ids,candidate_canonical_names,action,merge_target_id,rename_to,notes
736,Murphy,0,unmatched,,,,,,
946,Nat,1,surname,346;347,Nat Butler;Nat Heyward,,,,
941,Ned,0,unmatched,,,,,,
943,Nelson,2,surname,357,Patrick Nelson Lynch,,,,
830,Neufville,1,unmatched,,,,,,
611,North,2,junk,765;870;960;1099;1170;1213,Henry North;Edward North;James north;Jane Petigru North;James North's;Susy North,drop,,,
816,Norths,0,unmatched,,,,,,
668,O'Neal,0,unmatched,,,,,,
641,O'Neale,5,unmatched,,,,,,
729,O'Neall,0,unmatched,,,,,,
1198,Oelrich,0,unmatched,,,,,,
1145,Oilman,0,unmatched,,,,,,
917,Osprey,0,unmatched,,,,,,
749,Pat,0,unmatched,,,,,,
788,Patriot,0,unmatched,,,,,,
674,Patterson,0,surname,1132,Billy Patterson,,,,
1081,Pee-Dee,0,unmatched,,,,,,
762,pell,0,unmatched,,,,,,
794,Peronneau,0,unmatched,,,,,,
1046,Petersburg,5,unmatched,,,,,,
576,Phil,9,unmatched,,,,,,
1045,Pickens,11,surname,32;33;145;147;156;454,Andrew Pickens;Andrew Pickens Butler;Francis W. Pickens;Francis Wilkinson Pickens;Frank Pickens;Tom Pickens,,,,
918,Pierce,0,surname,365;520,Pierce Williamson;William Pierce Price,,,,
972,Pierre,0,surname,545;547;1156;1157,"Pierre Gibert;Pierre, Clément;Louis Dumesnil de St. Pierre;St Pierre",,,,
1086,Pinckney,0,surname,196;521;684,Henry Pinckney Hammett &;William Pinckney;Henry L. Pinckney,,,,
1058,Pocataligo,0,unmatched,,,,,,
893,Polk,1,unmatched,,,,,,
971,Pons,0,unmatched,,,,,,
606,Porcher,11,surname,157;899;1122;1205,Frank Porcher;Harriet Porcher;Philip Porcher;Louise Porcher,,,,
1149,Pothier,0,unmatched,,,,,,
1048,Prescott,0,unmatched,,,,,,
631,Preston,11,surname,299;302;368;471;484;1075,John Preston;John S. Preston;Preston Brooks;W.C. Preston;William C. Preston;William C.j Preston,,,,
826,Princeton,0,unmatched,,,,,,
691,Pringle,10,surname,1101,W. B. Pringle's,,,,
1070,Prioleauf,0,unmatched,,,,,,
956,Providence,0,junk,,,drop,,,
1091,rattan,0,unmatched,,,,,,
841,Ravenel,0,unmatched,,,,,,
814,Reid,1,unmatched,,,,,,
629,Representa-,0,unmatched,,,,,,
645,Resolutions,0,unmatched,,,,,,
823,Rev,0,unmatched,,,,,,
725,Revival,0,unmatched,,,,,,
933,Rhett,7,surname,53;106;113;236;1164;1236,Barnwell Rhett;Edmund Rhett;Edward Rhett;James Smith Rhett;Tom Rhett;Robert Rhett,,,,
800,Rhetts,0,surname,13;538,Albert Rhetts;Willie Rhetts,,,,
858,Rice,2,unmatched,,,,,,
575,Richard,1,surname,375;376;377;378;379;380;381;572,Richard DeTreville;Richard F. Simpson;Richard Freeman;Richard Harrison;Richard Singleton;Richard Stobo;Richard Stone;Richard Ready,,,,
640,Richardson,16,surname,295;297;303,John P. Richardson;John Peter Richardson;John Smyth Richardson,,,,
940,Ridge,0,unmatched,,,,,,
991,Rip,0,unmatched,,,,,,
990,Ripley,2,unmatched,,,,,,
1147,Robert,0,firstname,354;382;383;384;385;386;387;388;389;390;391;392;393;394;395;776;843;1236,Ozey Robert Broyles;Robert Barnwell;Robert Bentham;Robert Brown Elliott;Robert Cunningham;Robert Duncan;Robert Foster;Robert Francis Withers;Robert Goodloe Harper;Robert Harris;Robert Maxwell;Robert McKay;Robert Pool;Robert Thurston;Robert Wilson;Robert Pettigrew;Robert Allston;Robert Rhett,,,,
840,Robertson,1,surname,15,Alex Robertson,,,,
1133,Robin,0,unmatched,,,,,,
1074,Robinson,0,surname,63,Betty Robinson,,,,
